feature,coefficient,abs_coefficient
num__thal,0.2807869716391121,0.2807869716391121
num__ca,0.2521367942921727,0.2521367942921727
num__cp,0.20206598518680227,0.20206598518680227
num__exang,0.18586970163236663,0.18586970163236663
num__sex,0.18136064387198256,0.18136064387198256
num__thalach,-0.1646990566721737,0.1646990566721737
num__oldpeak,0.14881687827054238,0.14881687827054238
num__slope,0.12228308517423414,0.12228308517423414
num__restecg,0.07892904233605377,0.07892904233605377
num__age,0.05920643458229887,0.05920643458229887
num__trestbps,0.05816367169499576,0.05816367169499576
num__chol,0.038536347223164034,0.038536347223164034
num__fbs,-0.0037431107312215664,0.0037431107312215664
